topic_id,query
1,. . C0015219 C0086418. 
2,C0043085. C0043085. C0008946 C0012634 C0043085 C1563773. 
3,. C1175175 C1175743 C2717886. C0009450 C1175175 C1175743 C2717886. 
4,. C4722467. C4722467. 
5,C0012644. C1175743. C0007585 C0009450 C0012644 C0030351 C0038577 C0042736 C0700271 C1510438 C4721550. 
6,. . . 
7,C0036743. C0003241 C0021027 C0036743. C0079809 C1510438. 
8,. C0021149 C0023175. . 
9,C0006823. C0006823. C0009450 C0019993 C0085559 C1457887. 
10,. . C0079809. 
11,C0019994. C0162791 C0206750. C0011298 C0036743 C0162791 C0206750. 
12,C0034386. C0019994 C0034386 C3179154. C0026606 C0034386 C3179154. 
13,. C0013153. . 
14,. . . 
15,C0242821. C0242821. C0014406 C0086418. 
16,. . C0019994 C0020052 C0040227. 
17,. . . 
18,C0024861. C0009450 C0024861. C0009450 C0024861. 
19,C0001962 C0162388. C0018563 C0027552. C0027552. 
20,C0003015. C0003015 C0035647 C1452534. C0003018 C0014442 C0035647 C0687133. 
21,. C0205848 C1561607. C0079399 C1257890 C1522384. 
22,. . C4321352. 
23,. . C0015450. 
24,C0011849. C0011849. C0015450. 
25,. C0009450. . 
26,C1457887. C1457887. C0009450. 
27,. . C1457887. 
28,C0020336. C0020336. C0020336. 
29,C2936405. C0085104 C1142652. C0085104. 
30,C4726677. C4726677. C4726677. 
31,C0021400. C0021400. C0017428 C0021400 C0021403 C0699943 C0887950. 
32,. . C0017428 C0027365 C0030351 C0887950. 
33,C0042210. C0042210. C0027365 C0042210. 
34,. C0233324. C0879626. 
35,. . C0017428 C0030685 C0699943 C0887950. 
36,. . C0010424 C0025663 C0042736 C0700271. 
37,. C0004793 C0017428 C0162326 C0162327. C0017428. 
38,. C0699748. C0001617 C0003209 C0012634 C0012652 C0699748 C1136359. 
39,. C1861452. C1527148. 
40,C0026882. C0017428 C0026882 C2745955. C0017428 C0026882 C0887950 C1136169. 
41,. C0035253 C1257890. C0015031 C0015450 C0026192 C0162698 C1615608 C4722467. 
42,C0042890. C0042890. C0042890 C3871154. 
43,C0042693 C1615608. C0037455 C0042693 C1615608. C0003063 C0034386 C0042693 C0206072 C1615608. 
44,C0024861. C0024861. . 
45,C0025353. C0025353 C1615608. C0012634 C0025353 C0030319. 
